L/R;Position Real;Rotation Real;Rotation Real Normalized
L;(0.994, 1.325, -13.051);(327.482, 307.249, 320.984);(0.593, 0.557, 0.582)
L;(0.994, 1.328, -13.054);(327.665, 308.429, 319.862);(0.593, 0.559, 0.579)
L;(0.994, 1.330, -13.057);(327.861, 309.613, 318.503);(0.594, 0.561, 0.577)
L;(0.994, 1.333, -13.061);(328.042, 310.704, 317.225);(0.594, 0.563, 0.575)
L;(0.994, 1.337, -13.064);(327.801, 311.573, 316.491);(0.594, 0.564, 0.573)
L;(0.994, 1.341, -13.067);(327.516, 312.447, 315.987);(0.593, 0.566, 0.572)
L;(0.993, 1.345, -13.071);(327.292, 313.197, 315.232);(0.593, 0.567, 0.571)
L;(0.992, 1.349, -13.075);(327.096, 314.127, 314.327);(0.593, 0.569, 0.570)
L;(0.992, 1.352, -13.079);(327.060, 315.150, 313.446);(0.593, 0.571, 0.568)
L;(0.991, 1.356, -13.083);(327.207, 316.114, 312.716);(0.593, 0.573, 0.566)
L;(0.991, 1.360, -13.087);(327.319, 316.744, 312.113);(0.593, 0.574, 0.565)
L;(0.991, 1.363, -13.092);(327.532, 317.289, 311.533);(0.593, 0.575, 0.564)
L;(0.990, 1.366, -13.097);(327.837, 318.299, 310.654);(0.593, 0.576, 0.562)
L;(0.989, 1.368, -13.102);(327.746, 319.581, 309.420);(0.593, 0.578, 0.560)
L;(0.988, 1.371, -13.107);(327.757, 320.871, 308.008);(0.593, 0.581, 0.557)
L;(0.987, 1.373, -13.112);(327.807, 322.042, 306.684);(0.593, 0.583, 0.555)
L;(0.986, 1.376, -13.117);(328.087, 322.947, 306.254);(0.593, 0.584, 0.554)
L;(0.986, 1.378, -13.123);(328.633, 323.373, 305.837);(0.594, 0.584, 0.553)
L;(0.985, 1.380, -13.128);(329.194, 323.706, 305.146);(0.595, 0.585, 0.551)
L;(0.984, 1.382, -13.134);(329.405, 324.526, 304.201);(0.595, 0.586, 0.550)
L;(0.982, 1.384, -13.139);(329.384, 325.708, 303.310);(0.595, 0.588, 0.548)
L;(0.980, 1.385, -13.146);(329.672, 326.840, 302.581);(0.595, 0.590, 0.546)
L;(0.979, 1.386, -13.152);(330.197, 327.757, 301.618);(0.596, 0.591, 0.544)
