L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.999, 1.205, -13.349);(0.982, 1.211, -13.318);0,036;(293.110, 206.732, 151.399);(301.775, 209.969, 139.656);0,9940795;(0.753, 0.531, 0.389);(0.767, 0.534, 0.355)
R;(0.998, 1.202, -13.348);(0.982, 1.211, -13.318);0,036;(293.150, 205.374, 152.740);(301.775, 209.969, 139.656);0,9939318;(0.753, 0.528, 0.392);(0.767, 0.534, 0.355)
R;(0.998, 1.202, -13.348);(0.982, 1.209, -13.317);0,036;(293.150, 205.374, 152.740);(302.491, 209.319, 140.423);0,9936055;(0.753, 0.528, 0.392);(0.768, 0.532, 0.357)
R;(0.997, 1.196, -13.346);(0.982, 1.209, -13.317);0,035;(293.187, 202.987, 155.105);(302.491, 209.319, 140.423);0,9932669;(0.754, 0.522, 0.399);(0.768, 0.532, 0.357)
R;(0.996, 1.190, -13.344);(0.982, 1.204, -13.315);0,034;(293.545, 199.894, 157.972);(304.009, 208.053, 141.937);0,9922984;(0.755, 0.514, 0.406);(0.770, 0.527, 0.360)
R;(0.996, 1.190, -13.344);(0.982, 1.200, -13.314);0,034;(293.545, 199.894, 157.972);(305.450, 206.970, 143.255);0,9914153;(0.755, 0.514, 0.406);(0.772, 0.523, 0.362)
R;(0.996, 1.190, -13.344);(0.982, 1.200, -13.314);0,034;(293.827, 199.251, 158.462);(305.450, 206.970, 143.255);0,9916168;(0.756, 0.513, 0.408);(0.772, 0.523, 0.362)
R;(0.996, 1.190, -13.344);(0.982, 1.200, -13.314);0,034;(293.827, 199.251, 158.462);(305.461, 206.962, 143.264);0,9916101;(0.756, 0.513, 0.408);(0.772, 0.523, 0.362)
R;(0.995, 1.188, -13.342);(0.982, 1.200, -13.314);0,034;(294.112, 197.501, 160.090);(305.461, 206.962, 143.264);0,9915107;(0.757, 0.508, 0.412);(0.772, 0.523, 0.362)
R;(0.995, 1.188, -13.342);(0.982, 1.198, -13.313);0,034;(294.112, 197.501, 160.090);(306.131, 206.494, 143.841);0,9910765;(0.757, 0.508, 0.412);(0.772, 0.521, 0.363)
R;(0.994, 1.184, -13.339);(0.982, 1.198, -13.313);0,032;(294.621, 195.118, 162.322);(306.131, 206.494, 143.841);0,990943;(0.758, 0.502, 0.417);(0.772, 0.521, 0.363)
R;(0.994, 1.184, -13.339);(0.982, 1.195, -13.312);0,032;(294.621, 195.118, 162.322);(307.340, 205.701, 144.831);0,9901266;(0.758, 0.502, 0.417);(0.774, 0.518, 0.365)
R;(0.993, 1.182, -13.338);(0.982, 1.195, -13.312);0,031;(295.023, 194.149, 163.190);(307.340, 205.701, 144.831);0,9902478;(0.758, 0.499, 0.419);(0.774, 0.518, 0.365)
R;(0.993, 1.182, -13.338);(0.982, 1.194, -13.311);0,031;(295.023, 194.149, 163.190);(307.813, 205.407, 145.202);0,9899106;(0.758, 0.499, 0.419);(0.774, 0.517, 0.365)
R;(0.993, 1.180, -13.336);(0.982, 1.194, -13.311);0,030;(295.437, 192.885, 164.132);(307.813, 205.407, 145.202);0,9900606;(0.759, 0.496, 0.422);(0.774, 0.517, 0.365)
R;(0.993, 1.180, -13.336);(0.982, 1.192, -13.310);0,030;(295.437, 192.885, 164.132);(308.453, 205.023, 145.690);0,9895965;(0.759, 0.496, 0.422);(0.775, 0.515, 0.366)
